feature,train_spearman,validation_spearman,test_spearman
amihud_illiquidity_20,-0.06333564474639512,-0.020765759800152463,0.059312521545813804
up_close_ratio_5,-0.047341759738966135,0.0055735576069242225,0.015043368484494933
downside_semivol_20,0.044491154685650874,-0.02650514243454895,-0.12317644314433834
bb_width_rel_20,0.030751425057792922,-0.0030938878650026325,-0.09117020536631702
ret_autocorr_1_30,-0.024190704711603877,0.062074820975863615,0.03814079904631866
drawdown_from_peak_60,0.011927685172335025,0.014704201031056345,-0.06357243130049033
range_compression_20_100,0.009728174507196236,-0.01608857270383362,-0.019276700074146755
efficiency_ratio_20,-0.007840152538360127,0.027770439752449364,0.017453859936665796
rsi_hidden_div_flag,0.00560975912931097,-0.0023647123529519426,0.004387348662667144
rsi_centered_14,0.004858383796656819,-0.0011479778765242305,0.006760180210942306
channel_pos_20,-0.001332756479724215,-0.0006798161396774513,0.008838014543993414
vol_over_median20,-0.0011910416961323739,0.0032465543580687457,0.0033477709481573455
