feature,train_spearman,validation_spearman,test_spearman
amihud_illiquidity_20,-0.06333564474639512,-0.020765759800152463,0.059312521545813804
downside_semivol_20,0.044491154685650874,-0.02650514243454895,-0.12317644314433834
bb_width_rel_20,0.030751425057792922,-0.0030938878650026325,-0.09117020536631702
log_range_over_vol_100,-0.013494320179099057,0.0471627201499718,0.02681660502311736
drawdown_from_peak_60,0.011927685172335025,0.014704201031056345,-0.06357243130049033
range_compression_20_100,0.009728174507196236,-0.01608857270383362,-0.019276700074146755
return_skew_30,0.008385890046079009,-0.030913682757472544,-0.030343383679782315
dmi_balance_14,0.0076557920966219386,-0.008708926886104792,-0.014781757221715479
upper_wick_to_tr,0.006107147599383031,0.02964825588247369,0.022664996874139063
body_to_tr,-0.003785681875499695,0.003828023568796056,0.02599130758882807
lower_wick_to_tr,-0.00124103528993904,-9.152454557615779e-05,-0.019113066794286676
close_location_value,0.0001504751793519225,-0.007739724974238653,-0.011427521924335554
