split,Symbol,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,profit_factor,tp_exits,sl_exits,time_exits
train,1,187,116,71,62.03208556149733,634.5729290774221,3.3934381234086746,2.6373688160282835,112,69,6
train,2,400,250,150,62.5,1609.1523946509826,4.022880986627457,2.709157815268777,233,148,19
train,3,140,72,68,51.42857142857142,146.47592794823527,1.0462566282016805,1.379482032132528,64,63,13
train,4,189,111,78,58.730158730158735,340.8506990583487,1.8034428521605752,1.9659692498192114,80,67,42
train,5,273,151,122,55.311355311355314,742.4369080805958,2.7195491138483363,2.354425459811333,147,118,8
train,6,197,122,75,61.92893401015228,764.7956039914432,3.882211187773823,2.9783980385679736,118,73,6
train,7,250,136,114,54.400000000000006,571.2324393370166,2.284929757348066,1.9965888734638484,123,104,23
train,8,219,134,85,61.18721461187214,765.3660263502286,3.494822038128898,2.5090527671648926,127,84,8
train,9,232,120,112,51.724137931034484,231.4258566386202,0.9975252441319836,1.4438276680756859,63,67,102
train,10,116,65,51,56.03448275862068,250.59655519910578,2.160315131026774,2.044317853017961,56,46,14
test,1,25,15,10,60.0,26.723344372325258,1.0689337748930103,2.1778175470735257,15,10,0
test,2,75,43,32,57.333333333333336,64.75901295643598,0.8634535060858131,1.8999270952667109,35,32,8
test,3,23,10,13,43.47826086956522,1.7468388311933878,0.07594951439971251,1.0689459429431563,7,12,4
test,4,24,13,11,54.166666666666664,16.3447930046737,0.6810330418614042,1.8182035653187323,12,9,3
test,5,69,39,30,56.52173913043478,62.514947576133004,0.9060137329874348,2.148376318925946,39,27,3
test,6,32,18,14,56.25,35.3538372252025,1.104807413287578,2.3965184458557256,18,14,0
test,7,38,23,15,60.526315789473685,22.717436746738873,0.5978272828089177,1.7182546263101781,15,15,8
test,8,39,14,25,35.8974358974359,-10.051874696130565,-0.25774037682386064,0.7981422064843129,11,24,4
test,9,25,16,9,64.0,28.94842757528389,1.1579371030113557,4.119012419993619,5,4,16
test,10,12,4,8,33.33333333333333,-0.3419124292115243,-0.028492702434293693,0.9770083819080583,4,7,1
