feature,fuzzy_value,split,num_trades,total_return_pct,win_rate,sharpe_ratio
amihud_illiquidity_20,Low,train,86,-4.1456345154111505,0.29069767441860467,-0.11389857653981446
amihud_illiquidity_20,Very Low,train,367,2.1096553741015738,0.32697547683923706,0.014425296382340426
amihud_illiquidity_20,Medium,train,53,1.3557617704304776,0.32075471698113206,0.05839073861235825
amihud_illiquidity_20,High,train,28,-0.4946642672920822,0.32142857142857145,-0.04186712271762518
amihud_illiquidity_20,Very High,train,57,1.8742497778633505,0.3508771929824561,0.08335714017856218
range_compression_20_100,Medium,train,50,-4.828467218207604,0.22,-0.23418324697622747
range_compression_20_100,Low,train,70,4.703061684127445,0.35714285714285715,0.12000154173487121
range_compression_20_100,Very Low,train,235,4.332639671982923,0.3148936170212766,0.037719086522247876
range_compression_20_100,High,train,46,0.6937152976403969,0.391304347826087,0.048773656104767436
range_compression_20_100,Very High,train,190,-4.201581295850992,0.33157894736842103,-0.07609272325177119
downside_semivol_20,Very Low,train,146,-1.2444517743514687,0.3287671232876712,-0.016908907176802466
downside_semivol_20,Medium,train,78,-2.961185956012815,0.2948717948717949,-0.08957298100579324
downside_semivol_20,Low,train,61,3.945725677984238,0.39344262295081966,0.13998395336510172
downside_semivol_20,High,train,58,-2.755091700936935,0.3103448275862069,-0.10329484827422922
downside_semivol_20,Very High,train,248,3.714371893009147,0.31451612903225806,0.03543537629686403
dmi_balance_14,Bullish,train,30,3.2101970937318187,0.43333333333333335,0.21099288712538328
dmi_balance_14,Strong Bullish,train,39,-5.284836348042441,0.2564102564102564,-0.4610037435803956
dmi_balance_14,Neutral Positive,train,35,-3.2901020174188065,0.2571428571428571,-0.23112144747798324
dmi_balance_14,Weak Bearish,train,35,1.1522792654707912,0.34285714285714286,0.06754961125477463
dmi_balance_14,Extreme Bullish,train,155,0.5124472415246757,0.3032258064516129,0.010204293270478759
dmi_balance_14,Bearish,train,29,2.1126370792502684,0.41379310344827586,0.14204144364737126
dmi_balance_14,Strong Bearish,train,40,-0.026527966942701472,0.35,-0.001433472684242999
dmi_balance_14,Weak Bullish,train,39,4.4667098902025675,0.48717948717948717,0.22368453853384634
