split,win_rate,mdd_pct,total_return_pct,num_rules,num_conditions,sortino_ratio,profit_factor,sharpe_ratio
train,47.462686567164184,8.586935547896193,3.8805985164285017,2,8,0.035893275259174885,1.0513895933709763,0.02432678848417081
validation,42.857142857142854,6.140171744384876,2.3401781865158844,2,8,0.03139315625415976,1.0464394047133334,0.02073793398518479
test,38.98635477582846,30.856077720751102,-27.533177822011666,2,8,-0.13961075918067423,0.7417470536938329,-0.10292368176083433
