feature,train_spearman,validation_spearman,test_spearman
upside_semivol_20,0.055617032945754666,-0.037212131567115864,-0.13669183338999635
downside_semivol_20,0.043694855610093404,-0.014048148426674277,-0.1231764431443384
sign_flip_rate_20,-0.03594661236175597,0.017436200215766032,0.06728342033394975
log_range_over_vol_100,-0.015981213650176622,0.03188852386776244,0.026816605023117387
dmi_balance_14,0.014617223395368523,-0.017093929289064308,-0.014781757221715467
upper_wick_to_tr,0.011952497472079241,0.012193070744798355,0.02266499687413906
ret_vol_corr_30,-0.010812417312569558,0.031472805046595026,-0.027439942683036643
rsi_centered_14,0.010777509080409043,-0.01069161368173632,0.006760180210942316
range_compression_20_100,0.010607759282484447,-0.010583720778052147,-0.019276700074146783
drawdown_from_peak_60,0.009173648947704983,0.013984567585298913,-0.06357243130049034
rsi_hidden_div_flag,0.005869390170882537,-0.0006262240067535851,0.004387348662667148
mom_stoch_rsi_14_14_3,-0.005028123218384001,0.00045764721547414,0.005246781446223153
efficiency_ratio_20,-0.004091497150150692,0.011513997045902084,0.0174538599366658
band_bb_percB_20_2,0.0035681364213095684,-0.008964048566399976,0.003305783905385057
dollar_vol_rel_20,0.0029963813746895257,-0.0019741586406174538,0.010679336094585153
roc_10,0.002470732800862218,-0.012118971790898018,-0.0028374020778168412
channel_pos_20,0.0021495630598091274,-0.0079221978372837,0.008838014543993421
vol_over_median20,-0.0015034701652534641,0.0023273581946157396,0.0033477709481573447
body_signed_to_tr,-0.0010336219847075845,0.0037171861186840374,0.0073195548047090535
lower_wick_to_tr,-1.2439942963336718e-05,-0.00446531371473736,-0.01911306679428669
