feature,fuzzy_value,split,num_trades,total_return_pct,win_rate,sharpe_ratio
amihud_illiquidity_20,Low,train,0,0.0,0.0,0.0
amihud_illiquidity_20,Very Low,train,0,0.0,0.0,0.0
amihud_illiquidity_20,Medium,train,0,0.0,0.0,0.0
amihud_illiquidity_20,High,train,0,0.0,0.0,0.0
amihud_illiquidity_20,Very High,train,355,-4.416277856622375,0.48732394366197185,-0.006959507208481467
range_compression_20_100,Medium,train,21,-0.3363549570998426,0.47619047619047616,-0.018221251239488024
range_compression_20_100,Low,train,40,-3.3209835624903516,0.5,-0.12050242617884246
range_compression_20_100,Very Low,train,90,2.2764562936121644,0.5,0.04155836852021909
range_compression_20_100,High,train,17,-6.369686345770556,0.29411764705882354,-0.5298680337960212
range_compression_20_100,Very High,train,187,3.334290715126209,0.49732620320855614,0.02248757929768385
downside_semivol_20,Very Low,train,136,-13.668192375524491,0.45588235294117646,-0.13472431156256726
downside_semivol_20,Medium,train,160,-3.843631667698997,0.475,-0.015029134716192074
downside_semivol_20,Low,train,33,5.41087583598066,0.5454545454545454,0.19090002785182295
downside_semivol_20,High,train,11,-0.06828630991683791,0.5454545454545454,0.010969857744639567
downside_semivol_20,Very High,train,15,7.752956660537285,0.7333333333333333,0.602996984084666
dmi_balance_14,Bullish,train,23,1.9325907212447475,0.6086956521739131,0.10370303062065901
dmi_balance_14,Strong Bullish,train,31,-0.953552545388915,0.5483870967741935,-0.041740462510577774
dmi_balance_14,Neutral Positive,train,25,-5.665414855241991,0.4,-0.2833743165599917
dmi_balance_14,Weak Bearish,train,10,-1.6330311847868464,0.4,-0.19826683650186605
dmi_balance_14,Extreme Bullish,train,158,17.86787432313696,0.5189873417721519,0.11927008390644175
dmi_balance_14,Bearish,train,9,-1.3936979706974932,0.2222222222222222,-0.2625430738491467
dmi_balance_14,Strong Bearish,train,7,0.9372447599959755,0.5714285714285714,0.22064085028643493
dmi_balance_14,Weak Bullish,train,34,-11.499828373997248,0.3235294117647059,-0.4177726210468255
dmi_balance_14,Neutral Negative,train,19,2.8030041672538926,0.631578947368421,0.1935404828765507
dmi_balance_14,Extreme Bearish,train,39,-6.811466898141461,0.4358974358974359,-0.16579136265349953
drawdown_from_peak_60,Very Low,train,213,-7.160530022446656,0.47417840375586856,-0.029714736554788398
drawdown_from_peak_60,Medium,train,26,-7.350270844810268,0.38461538461538464,-0.28902602186431653
drawdown_from_peak_60,Low,train,57,7.6913402847127745,0.5614035087719298,0.16404630874222956
drawdown_from_peak_60,High,train,25,0.7642169306949219,0.56,0.03205742003612685
drawdown_from_peak_60,Very High,train,34,1.6389657952268517,0.47058823529411764,0.05984497370096815
bb_width_rel_20,Low,train,29,4.6813494147911765,0.6551724137931034,0.23979571204962113
bb_width_rel_20,Very Low,train,138,-15.897787462036824,0.427536231884058,-0.15232304417142498
bb_width_rel_20,Medium,train,12,3.5208847879453193,0.6666666666666666,0.3357974356910937
bb_width_rel_20,High,train,7,1.068318338915149,0.5714285714285714,0.16926683282175373
bb_width_rel_20,Very High,train,169,2.2109570637628018,0.4911242603550296,0.017918818676344588
log_range_over_vol_100,Very Low,train,151,-14.281199917017101,0.4768211920529801,-0.09568705861241492
log_range_over_vol_100,Low,train,60,-1.1028337922947868,0.4166666666666667,-0.022236273145273034
log_range_over_vol_100,Medium,train,44,2.7914397326308067,0.5227272727272727,0.09274020181933247
log_range_over_vol_100,High,train,35,4.630335914907087,0.5428571428571428,0.13425130870114738
log_range_over_vol_100,Very High,train,65,3.54598020515162,0.5230769230769231,0.06986022720358061
channel_pos_20,Very High,train,164,5.865874887451939,0.4878048780487805,0.04572842986769461
channel_pos_20,High,train,50,-7.47216176071087,0.46,-0.18170273472018272
channel_pos_20,Low,train,34,-7.73694195868032,0.4117647058823529,-0.2372755188498639
channel_pos_20,Very Low,train,52,-5.522519348602588,0.4807692307692308,-0.11672571208723614
channel_pos_20,Medium,train,55,10.449470323919462,0.5636363636363636,0.22980869699052328
return_skew_30,Bullish,train,12,-1.0886624891782655,0.4166666666666667,-0.0753999671499738
return_skew_30,Weak Bullish,train,12,-0.5732453944723149,0.4166666666666667,-0.045571548328758336
return_skew_30,Neutral Positive,train,9,-0.5253725070527742,0.5555555555555556,-0.025668664398532614
return_skew_30,Neutral Negative,train,10,-2.615733260308503,0.5,-0.34924419703792536
return_skew_30,Weak Bearish,train,8,-3.36915814210558,0.375,-0.6975558897706847
return_skew_30,Bearish,train,7,1.9449145642347363,0.5714285714285714,0.19690161024986122
return_skew_30,Strong Bearish,train,5,2.0948224176663066,0.6,0.5426546331163226
return_skew_30,Strong Bullish,train,6,0.24025212376934243,0.6666666666666666,0.042589321703362305
return_skew_30,Extreme Bullish,train,254,-3.2377453031414696,0.484251968503937,-0.008818023864772137
return_skew_30,Extreme Bearish,train,32,2.713650133966146,0.5,0.09284586389815916
efficiency_ratio_20,Medium,train,22,-6.0649592889171595,0.22727272727272727,-0.20001972169426732
efficiency_ratio_20,Very High,train,94,-1.6124452133270346,0.5,-0.009729906913514922
efficiency_ratio_20,High,train,19,11.031903014547781,0.6842105263157895,0.5710016374650132
efficiency_ratio_20,Low,train,215,-5.453404490310843,0.4883720930232558,-0.024747109023967578
efficiency_ratio_20,Very Low,train,5,-2.317371878615118,0.6,-0.6910954796675288
up_close_ratio_5,Medium,train,67,-6.882949733103515,0.417910447761194,-0.10585347524049181
up_close_ratio_5,Very High,train,188,9.318217415464444,0.5159574468085106,0.05946094202916926
up_close_ratio_5,Very Low,train,100,-6.85154553898331,0.48,-0.06960265535672147
mom_stoch_rsi_14_14_3,High,train,51,0.9030881091146864,0.47058823529411764,0.021212839407151608
mom_stoch_rsi_14_14_3,Medium,train,41,-7.560111215958106,0.43902439024390244,-0.21519406778035172
mom_stoch_rsi_14_14_3,Very Low,train,89,-2.9826704145115652,0.5393258426966292,-0.026115604415320508
mom_stoch_rsi_14_14_3,Very High,train,134,4.500207927475506,0.4701492537313433,0.04498863815029084
mom_stoch_rsi_14_14_3,Low,train,40,0.7232077372570948,0.5,0.02546586696733057
upper_wick_to_tr,Very Low,train,146,7.959101467229283,0.5068493150684932,0.06357707323575607
upper_wick_to_tr,Low,train,57,-7.518950715617015,0.42105263157894735,-0.1321413153632504
upper_wick_to_tr,Very High,train,74,-1.2129938680429702,0.4864864864864865,-0.016338324304321
upper_wick_to_tr,Medium,train,35,-10.338180073707063,0.45714285714285713,-0.31942806631520176
upper_wick_to_tr,High,train,43,6.694745333515385,0.5348837209302325,0.17390203381140476
body_signed_to_tr,Strong Bearish,train,14,-0.9061616925899821,0.42857142857142855,-0.0648664684323148
body_signed_to_tr,Extreme Bullish,train,109,-4.6417847895918,0.47706422018348627,-0.0446964933291984
body_signed_to_tr,Bullish,train,20,0.2030423899570726,0.65,0.03325984080632137
body_signed_to_tr,Bearish,train,14,-4.252942994968559,0.42857142857142855,-0.3712855702907713
body_signed_to_tr,Weak Bearish,train,17,-3.1171208602954836,0.35294117647058826,-0.15106060171137078
body_signed_to_tr,Strong Bullish,train,18,1.9011359381710613,0.5,0.11620223049994927
body_signed_to_tr,Neutral Negative,train,12,1.4035961668274743,0.5833333333333334,0.1340142643030965
body_signed_to_tr,Extreme Bearish,train,118,-1.6292838215466954,0.4406779661016949,-0.006821185951474033
body_signed_to_tr,Weak Bullish,train,23,6.238604901399962,0.6956521739130435,0.26567345385025193
body_signed_to_tr,Neutral Positive,train,10,0.3846369060145719,0.6,0.06208194140070736
vol_over_ema20,Very Low,train,115,1.5736123957554187,0.5043478260869565,0.016222336434944376
vol_over_ema20,Medium,train,49,-14.47385075937567,0.3877551020408163,-0.36087844840272065
vol_over_ema20,High,train,33,-3.365374007977801,0.45454545454545453,-0.09809643852653993
vol_over_ema20,Low,train,48,-1.7798238427941557,0.4166666666666667,-0.023531033623100044
vol_over_ema20,Very High,train,110,13.629158357769827,0.5545454545454546,0.14139793569683934
body_to_tr,Low,train,26,-2.2899953712512424,0.5384615384615384,-0.10119679481693357
body_to_tr,Very High,train,140,-0.19712299037969389,0.4928571428571429,0.0015609848306796586
body_to_tr,Very Low,train,86,2.539144204793196,0.5581395348837209,0.03638738277317099
body_to_tr,High,train,49,-1.3489942153757537,0.40816326530612246,-0.014207372482838742
body_to_tr,Medium,train,54,-3.1193094844088853,0.4074074074074074,-0.05096930136978254
macd_hist_atr,Strong Bullish,train,24,-2.8800459472949584,0.5,-0.17832584970463347
macd_hist_atr,Bullish,train,16,-1.2807367601285398,0.4375,-0.08529583985329556
macd_hist_atr,Weak Bullish,train,18,-7.264543425360979,0.3333333333333333,-0.5860610887314998
macd_hist_atr,Neutral Negative,train,21,0.033937100646672186,0.6190476190476191,0.01470381406654342
macd_hist_atr,Weak Bearish,train,17,6.735499410636798,0.7647058823529411,0.5182853001467385
macd_hist_atr,Strong Bearish,train,14,-0.46242234389680087,0.35714285714285715,-0.026575315010828073
macd_hist_atr,Bearish,train,9,0.024238860263905447,0.6666666666666666,0.020947528101601064
macd_hist_atr,Neutral Positive,train,18,-4.17989772783574,0.3888888888888889,-0.2544654002418146
macd_hist_atr,Extreme Bearish,train,72,-3.145787673817799,0.5,-0.04097606732031896
macd_hist_atr,Extreme Bullish,train,146,8.003480650165063,0.4657534246575342,0.06380512546843828
volume_percentile_60,Very Low,train,105,0.6409428353399204,0.49523809523809526,0.012503051976854297
