symbol,trade_count,win_rate,net_pnl
1,56,35.714285714285715,-15.313695030557811
10,39,41.02564102564102,-1.4045447942651523
2,60,46.666666666666664,24.76358980549739
3,72,50.0,37.763973322950044
4,66,57.57575757575758,85.60232659456585
5,73,49.31506849315068,36.28425942321435
6,67,26.865671641791046,-81.54717109526857
7,59,45.76271186440678,47.47751960013906
8,61,36.0655737704918,-27.88209018131142
9,35,57.14285714285714,9.777866610757453
