datetime,symbol,open,high,low,close,volume,ff_donchian_width_20,ff_ema_spread_21_55,ff_relative_volume_20,ff_volume_regime_20,ff_bollinger_width_20,ff_volume_oscillator_5_20,ff_ema_stack_8_21_55,ff_volume_trailing_rank_50,ff_kama_distance_10,ff_roc_16,ff_ema_spread_8_21,ff_support_distance_20,ff_cvd_proxy_10,ff_rsi_7_level,ff_channel_midpoint_bias_20,ff_price_vs_ema_20,ff_rsi_14_midline_cross,ff_roc_8
2024-01-01 00:00:00,BTCUSDT,42283.58,42488.09,42261.02,42488.0,431.71082,,,,,,,,,,,,,,,,,,
2024-01-01 00:00:00,ETHUSDT,2281.87,2296.97,2281.27,2296.71,4393.025,,,,,,,,,,,,,,,,,,
2024-01-01 00:15:00,BTCUSDT,42488.0,42554.57,42412.02,42419.73,392.24889,,,,,,,,,,,,,,,,,,
2024-01-01 00:15:00,ETHUSDT,2296.71,2297.0,2289.0,2291.05,2690.5061,,,,,,,,,,,,,,,,,,
2024-01-01 00:30:00,BTCUSDT,42419.73,42447.82,42354.19,42441.32,319.90644,,,,,,,,,,,,,,,,,,
2024-01-01 00:30:00,ETHUSDT,2291.05,2294.78,2288.55,2293.22,2201.9447,,,,,,,,,,,,,,,,,,
2024-01-01 00:45:00,BTCUSDT,42441.32,42490.74,42422.45,42475.23,127.81493,,,,,,,,,,,,,,,,,,
2024-01-01 00:45:00,ETHUSDT,2293.23,2297.18,2292.24,2295.51,1486.4425,,,,,,,,,,,,,,,,,,
2024-01-01 01:00:00,BTCUSDT,42475.23,42475.23,42431.65,42466.33,188.76099,,,,,,,,,,,,,,,,,,
2024-01-01 01:00:00,ETHUSDT,2295.52,2297.4,2292.9,2296.59,1412.2053,,,,,,,,,,,,,,,,,,
2024-01-01 01:15:00,BTCUSDT,42466.32,42513.17,42466.32,42493.16,152.48691,,,,,,,,,,,,,,,,,,
2024-01-01 01:15:00,ETHUSDT,2296.59,2300.32,2296.59,2299.11,1669.0732,,,,,,,,,,,,,,,,,,
2024-01-01 01:30:00,BTCUSDT,42493.16,42775.0,42493.16,42697.5,642.57307,,,,,,,,,,,,,,,,,,
2024-01-01 01:30:00,ETHUSDT,2299.12,2306.45,2299.11,2303.27,3207.1637,,,,,,,,,,,,,,,,,,
2024-01-01 01:45:00,BTCUSDT,42697.5,42720.0,42613.56,42613.56,212.55759,,,,,,,,,,,,,,0,,,,
2024-01-01 01:45:00,ETHUSDT,2303.26,2306.6,2303.26,2303.72,2124.9838,,,,,,,,,,,,,,0,,,,
2024-01-01 02:00:00,BTCUSDT,42613.57,42638.41,42541.1,42556.63,217.29821,,,,,,,,,,,,,,0,,,,1
2024-01-01 02:00:00,ETHUSDT,2303.72,2304.72,2297.82,2299.02,1823.7417,,,,,,,,,,,,,,-1,,,,1
2024-01-01 02:15:00,BTCUSDT,42556.64,42571.68,42531.1,42546.01,139.29978,,,,,,,,,,,,,,0,,,,1
2024-01-01 02:15:00,ETHUSDT,2299.02,2299.02,2295.58,2296.74,1163.0004,,,,,,,,,,,,,,-1,,,,1
2024-01-01 02:30:00,BTCUSDT,42546.0,42606.25,42533.0,42535.75,193.14053,,,,,,,,,,,,,-1,0,,,,1
2024-01-01 02:30:00,ETHUSDT,2296.73,2299.46,2294.54,2294.54,1403.6463,,,,,,,,,,,,,2,-1,,,,1
2024-01-01 02:45:00,BTCUSDT,42535.74,42590.0,42500.0,42581.1,135.48128,,,,,,,,,,,,,1,0,,,,1
2024-01-01 02:45:00,ETHUSDT,2294.55,2295.33,2291.2,2293.02,1417.8649,,,,,,,,,,,,,2,-1,,,,-1
2024-01-01 03:00:00,BTCUSDT,42581.09,42586.64,42501.67,42508.24,169.14866,,,,,,,,,,,,,-1,0,,,,1
2024-01-01 03:00:00,ETHUSDT,2293.03,2294.5,2289.0,2289.04,2515.2115,,,,,,,,,,,,,1,-1,,,,-1
2024-01-01 03:15:00,BTCUSDT,42508.24,42508.24,42419.39,42429.47,175.84382,,,,,,,,,,,,,-1,-1,,,,-1
2024-01-01 03:15:00,ETHUSDT,2289.04,2289.05,2281.0,2282.37,2252.9774,,,,,,,,,,,,,-1,-1,,,,-1
2024-01-01 03:30:00,BTCUSDT,42429.47,42459.02,42230.08,42302.19,199.04695,,,,,,,,,-5,,,,-1,-1,,,0,-1
2024-01-01 03:30:00,ETHUSDT,2282.37,2283.8,2273.24,2276.29,3284.8894,,,,,,,,,-5,,,,-2,-1,,,0,-1
2024-01-01 03:45:00,BTCUSDT,42302.19,42358.84,42243.99,42330.49,250.76448,,,,,,,,,-5,,,,-1,-1,,,0,-1
2024-01-01 03:45:00,ETHUSDT,2276.29,2277.58,2271.0,2273.81,2692.6577,,,,,,,,,-5,,,,-3,-1,,,0,-1
2024-01-01 04:00:00,BTCUSDT,42330.5,42377.43,42273.26,42287.5,157.71914,,,,,,,,,-5,-1,,,-3,-1,,,0,-1
2024-01-01 04:00:00,ETHUSDT,2273.8,2278.8,2271.77,2274.08,2330.4382,,,,,,,,,-4,-1,,,-3,-1,,,0,-1
2024-01-01 04:15:00,BTCUSDT,42287.5,42315.0,42209.46,42307.39,261.25449,,,,,,,,,-5,-1,,,-2,-1,,,0,-1
2024-01-01 04:15:00,ETHUSDT,2274.09,2274.53,2265.24,2271.62,3330.3254,,,,,,,,,-3,-1,,,-4,-1,,,0,-1
2024-01-01 04:30:00,BTCUSDT,42307.4,42345.08,42283.86,42310.98,153.21792,,,,,,,,,-4,-1,,,-1,-1,,,0,-1
2024-01-01 04:30:00,ETHUSDT,2271.62,2276.11,2271.34,2274.41,1723.7117,,,,,,,,,-2,-1,,,-4,-1,,,0,-1
2024-01-01 04:45:00,BTCUSDT,42310.99,42399.99,42304.0,42399.99,143.22605,,,,,,,,,-1,-1,,,1,0,,,0,-1
2024-01-01 04:45:00,ETHUSDT,2274.4,2279.86,2272.56,2279.55,2297.1009,,,,,,,,,2,-1,,,-3,0,,,0,-1
2024-01-01 05:00:00,BTCUSDT,42399.98,42406.0,42315.0,42352.0,189.17581,1,,2,-1,1,-2,,,-3,-1,,5,1,0,-1,-1,0,-1
2024-01-01 05:00:00,ETHUSDT,2279.54,2283.19,2276.29,2283.19,2409.8417,1,,3,0,1,2,,,4,-1,,5,-2,0,0,0,0,-1
2024-01-01 05:15:00,BTCUSDT,42352.0,42361.1,42297.9,42297.91,182.56287,1,,2,-1,1,-2,,,-4,-1,-3,4,-1,0,-2,-1,0,-1
2024-01-01 05:15:00,ETHUSDT,2283.19,2283.36,2277.05,2278.55,1509.3508,1,,2,-1,1,1,,,1,-1,-4,5,-2,0,-1,-1,0,-1
2024-01-01 05:30:00,BTCUSDT,42297.91,42321.13,42278.0,42300.02,171.82087,1,,2,-1,1,-2,,,-4,-1,-3,4,1,0,-2,-1,0,-1
2024-01-01 05:30:00,ETHUSDT,2278.54,2280.32,2276.26,2279.3,1324.3438,1,,2,-1,1,-2,,,2,-1,-4,5,-1,0,-1,-1,0,1
2024-01-01 05:45:00,BTCUSDT,42300.01,42300.02,42180.77,42234.01,192.97197,1,,2,0,1,-2,,,-5,-1,-3,2,1,-1,-2,-1,0,-1
