rule_index,old_tp,old_sl,old_capital_pct,new_tp,new_sl,new_capital_pct,changed_tp_sl,changed_capital,full_signals,train_signals,test_signals,hidden_signals,rest_signals,train_sum_net_pct,test_sum_net_pct,hidden_sum_net_pct,rest_sum_net_pct,conditions
93,2.0,1.0,12.5,3.5,1.0,12.5,True,False,6,1,0,2,3,-1.2000000476837158,0.0,6.599999904632568,5.399999618530273,[vol_over_ema20] IS High AND [vol_over_median20] IS Very Low AND [ema_gap_atr_20] IS Strong Bullish AND [dollar_vol_rel_20] IS High
94,2.0,1.0,12.5,2.0,1.0,12.5,False,False,6,1,4,0,1,-0.30707594752311707,7.199999809265137,0.0,1.7999999523162842,[ema_gap_atr_20] IS Neutral Positive AND [rsi_centered_14] IS Extreme Bullish AND [tr_to_atr_14] IS Low AND [up_close_ratio_5] IS Very Low
95,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,2,0,0,3,3.5999999046325684,0.0,0.0,2.3999998569488525,[vol_over_ema20] IS High AND [vol_over_median20] IS Very Low AND [dollar_vol_rel_20] IS Medium AND [close_location_value] IS Very Low
96,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,4,1,0,0,4.199999809265137,1.7999999523162842,0.0,0.0,[vol_over_ema20] IS High AND [vol_over_median20] IS Very Low AND [dmi_balance_14] IS Neutral Negative AND [dollar_vol_rel_20] IS High
97,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,0,3,1,1,0.0,5.399999618530273,1.7999999523162842,-1.2000000476837158,[ema_gap_atr_20] IS Neutral Positive AND [rsi_centered_14] IS Extreme Bullish AND [range_compression_20_100] IS Medium AND [upside_semivol_20] IS Very High
98,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,1,1,0,3,1.7999999523162842,1.7999999523162842,0.0,2.3999998569488525,[dollar_vol_rel_20] IS High AND [vol_over_median20] IS Very Low AND [downside_semivol_20] IS Medium AND [log_range_over_vol_100] IS Very High
99,2.0,1.0,12.5,2.0,1.0,4.0,False,True,5,1,1,1,2,1.7999999523162842,1.7999999523162842,-0.40678247809410095,3.5999999046325684,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Extreme Bearish AND [downside_semivol_20] IS High AND [parkinson_vol_20] IS Very High
100,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,1,2,1,1,1.7999999523162842,0.5999999046325684,1.7999999523162842,1.7999999523162842,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Extreme Bearish AND [dmi_balance_14] IS Weak Bullish AND [up_close_ratio_5] IS Very Low
101,2.0,1.0,12.5,3.5,1.0,12.5,True,False,7,1,1,0,5,3.299999952316284,3.299999952316284,0.0,8.041446685791016,[dollar_vol_rel_20] IS High AND [vol_over_median20] IS Very Low AND [downside_semivol_20] IS Medium AND [vol_over_ema20] IS High
102,2.0,1.0,12.5,3.5,1.0,12.5,True,False,6,2,3,0,1,5.418721675872803,1.9416532516479492,0.0,3.299999952316284,[vol_over_ema20] IS High AND [vol_over_median20] IS Very Low AND [vol_ratio_20_100] IS Medium AND [dollar_vol_rel_20] IS High
103,2.0,1.0,12.5,3.5,1.0,12.5,True,False,6,1,2,0,3,3.299999952316284,2.0999999046325684,0.0,0.8999998569488525,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Extreme Bearish AND [ret_autocorr_1_30] IS Neutral Negative AND [mom_stoch_rsi_14_14_3] IS Very Low
104,2.0,1.0,12.5,2.0,1.0,12.5,False,False,65,21,7,4,33,-13.199999809265137,6.600000381469727,7.199999809265137,-6.853794097900391,[ema_gap_atr_20] IS Bullish AND [band_bb_percB_20_2] IS Weak Bearish AND [vol_ratio_20_100] IS Medium AND [dmi_balance_14] IS Extreme Bullish
105,2.0,1.0,12.5,3.0,1.0,12.5,True,False,19,3,2,4,10,1.9278883934020996,1.5999999046325684,11.199999809265137,-8.0,[ema_gap_atr_20] IS Bullish AND [channel_pos_20] IS Very Low AND [up_close_ratio_5] IS Very Low AND [ema_slope_atr_20_5] IS Neutral Positive
106,2.0,1.0,12.5,3.5,1.75,12.5,True,False,54,12,7,4,31,1.9307266473770142,8.098556518554688,13.199999809265137,-18.160547256469727,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Strong Bearish AND [ema_gap_atr_20] IS Weak Bullish AND [dmi_balance_14] IS Extreme Bullish
107,2.0,1.0,12.5,2.5,1.5,12.5,True,False,81,26,12,4,39,10.701468467712402,2.3848531246185303,9.199999809265137,-14.700712203979492,[ema_gap_atr_20] IS Bullish AND [band_bb_percB_20_2] IS Weak Bearish AND [vol_ratio_20_100] IS Medium AND [vol_over_ema20] IS Very Low
108,2.0,1.0,12.5,3.0,1.0,12.5,True,False,69,20,12,4,33,4.3543806076049805,5.600000381469727,11.199999809265137,-7.170440673828125,[rsi_centered_14] IS Strong Bullish AND [channel_pos_20] IS Very Low AND [ema_slope_atr_20_5] IS Strong Bullish AND [tr_to_atr_14] IS Very Low
109,2.0,1.0,12.5,3.5,2.0,12.5,True,False,41,7,6,4,24,-1.7187418937683105,0.14231669902801514,12.696173667907715,17.756954193115234,[ema_gap_atr_20] IS Bullish AND [channel_pos_20] IS Very Low AND [realized_vol_20] IS High AND [vol_over_ema20] IS Very Low
110,2.0,1.0,12.5,3.5,1.0,12.5,True,False,45,9,7,4,25,-1.8971967697143555,5.100000381469727,8.699999809265137,-11.135964393615723,[ema_gap_atr_20] IS Bullish AND [channel_pos_20] IS Very Low AND [realized_vol_20] IS High AND [log_range_over_vol_100] IS Very High
111,2.0,1.0,12.5,2.0,1.75,10.0,True,True,40,8,4,4,24,0.654869794845581,-0.5828102827072144,7.199999809265137,8.307180404663086,[ema_gap_atr_20] IS Bullish AND [channel_pos_20] IS Very Low AND [up_close_ratio_5] IS Very Low AND [ema_slope_atr_20_5] IS Extreme Bullish
112,2.0,1.0,12.5,3.5,1.5,12.5,True,False,44,14,10,4,16,0.4717690944671631,4.889242172241211,7.629802703857422,-10.912960052490234,[channel_pos_20] IS Low AND [ema_gap_atr_20] IS Extreme Bullish AND [realized_vol_20] IS High AND [roc_10] IS Extreme Bullish
113,2.0,1.0,12.5,2.0,1.75,10.0,True,True,40,17,3,4,16,4.369824409484863,-0.547238826751709,7.199999809265137,12.725801467895508,[band_bb_percB_20_2] IS Weak Bullish AND [channel_pos_20] IS Very Low AND [ret_autocorr_1_30] IS Neutral Positive AND [percent_b_20] IS Weak Bullish
114,2.0,1.0,12.5,2.0,1.0,12.5,False,False,46,11,5,4,26,0.5120968818664551,1.3061363697052002,7.199999809265137,-14.242134094238281,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Strong Bearish AND [channel_pos_20] IS Very Low AND [vol_over_ema20] IS Very Low AND [dollar_vol_rel_20] IS Very Low AND [vol_over_median20] IS Very Low AND [range_compression_20_100] IS Very Low AND [mom_stoch_rsi_14_14_3] IS Very Low AND [log_range_over_vol_100] IS Very High AND [macd_hist_atr] IS Extreme Bearish
