rule_index,old_tp,old_sl,old_capital_pct,new_tp,new_sl,new_capital_pct,changed_tp_sl,changed_capital,full_signals,train_signals,test_signals,hidden_signals,rest_signals,train_sum_net_pct,test_sum_net_pct,hidden_sum_net_pct,rest_sum_net_pct,conditions
116,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,1,3,0,1,1.7999999523162842,5.399999618530273,0.0,1.7999999523162842,[ema_gap_atr_20] IS Neutral Positive AND [rsi_centered_14] IS Extreme Bullish AND [downside_semivol_20] IS High AND [atr_pct_14] IS Very High AND [parkinson_vol_20] IS Very High AND [realized_vol_20] IS Very High AND [upside_semivol_20] IS Very High AND [mom_stoch_rsi_14_14_3] IS Very Low AND [up_close_ratio_5] IS Very Low AND [log_range_over_vol_100] IS Very High AND [macd_hist_atr] IS Extreme Bearish
117,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,0,0,0,5,0.0,0.0,0.0,9.0,[realized_vol_20] IS High AND [parkinson_vol_20] IS Very Low AND [channel_pos_20] IS High AND [upside_semivol_20] IS Very High AND [vol_ratio_20_100] IS Very Low AND [tr_to_atr_14] IS Very Low
118,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,4,0,1,0,7.199999809265137,0.0,1.7999999523162842,0.0,[vol_over_ema20] IS High AND [vol_over_median20] IS Very Low AND [upside_semivol_20] IS High AND [realized_vol_20] IS Very High AND [downside_semivol_20] IS Very High
119,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,3,0,1,1,5.399999618530273,0.0,1.7999999523162842,1.7999999523162842,[vol_over_ema20] IS High AND [vol_over_median20] IS Very Low AND [upside_semivol_20] IS High AND [tr_to_atr_14] IS Very High AND [dollar_vol_rel_20] IS High
120,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,0,5,0,0,0.0,9.0,0.0,0.0,[realized_vol_20] IS High AND [parkinson_vol_20] IS Very Low AND [upside_semivol_20] IS Low AND [efficiency_ratio_20] IS Very Low AND [downside_semivol_20] IS Very High
121,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,0,5,0,0,0.0,9.0,0.0,0.0,[realized_vol_20] IS High AND [parkinson_vol_20] IS Very Low AND [upside_semivol_20] IS Low AND [ema_slope_atr_20_5] IS Extreme Bearish AND [downside_semivol_20] IS Very High
122,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,1,3,0,1,1.7999999523162842,5.399999618530273,0.0,1.7999999523162842,[ema_gap_atr_20] IS Neutral Positive AND [rsi_centered_14] IS Extreme Bullish AND [vol_ratio_20_100] IS Medium AND [atr_pct_14] IS Very High AND [parkinson_vol_20] IS Very High
123,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,0,0,0,5,0.0,0.0,0.0,9.0,[realized_vol_20] IS High AND [parkinson_vol_20] IS Very Low AND [mom_stoch_rsi_14_14_3] IS Medium AND [upside_semivol_20] IS Very High AND [vol_ratio_20_100] IS Very Low
124,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,0,0,0,5,0.0,0.0,0.0,9.0,[realized_vol_20] IS High AND [parkinson_vol_20] IS Very Low AND [ret_autocorr_1_30] IS Weak Bullish AND [upside_semivol_20] IS Very High AND [vol_ratio_20_100] IS Very Low
125,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,0,4,0,1,0.0,7.199999809265137,0.0,1.7999999523162842,[ema_gap_atr_20] IS Neutral Positive AND [rsi_centered_14] IS Extreme Bullish AND [tr_to_atr_14] IS Low AND [channel_pos_20] IS Medium
126,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,0,0,0,5,0.0,0.0,0.0,9.0,[realized_vol_20] IS High AND [parkinson_vol_20] IS Very Low AND [roc_10] IS Extreme Bullish AND [up_close_ratio_5] IS Very Low
127,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,0,1,1,3,0.0,1.7999999523162842,1.7999999523162842,5.399999618530273,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Extreme Bearish AND [efficiency_ratio_20] IS Very High AND [ema_gap_atr_20] IS Neutral Positive
128,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,1,1,1,2,1.7999999523162842,1.7999999523162842,1.7999999523162842,3.5999999046325684,[vol_over_ema20] IS High AND [vol_over_median20] IS Very Low AND [tr_to_atr_14] IS Low AND [ema_slope_atr_20_5] IS Extreme Bullish
129,2.0,1.0,12.5,3.5,1.0,12.5,True,False,6,1,1,0,4,2.1187217235565186,3.299999952316284,0.0,8.699999809265137,[vol_over_ema20] IS High AND [vol_over_median20] IS Very Low AND [tr_to_atr_14] IS Low AND [up_close_ratio_5] IS Very High
130,2.0,1.0,12.5,2.5,1.0,12.5,True,False,10,0,6,0,4,0.0,13.800000190734863,0.0,5.699999809265137,[realized_vol_20] IS High AND [parkinson_vol_20] IS Very Low AND [return_skew_30] IS Extreme Bearish AND [channel_pos_20] IS Very Low
131,2.0,1.0,12.5,2.0,1.0,12.5,False,False,7,1,2,0,4,1.7999999523162842,3.5999999046325684,0.0,4.199999809265137,[ema_gap_atr_20] IS Neutral Positive AND [rsi_centered_14] IS Extreme Bullish AND [efficiency_ratio_20] IS High AND [ret_autocorr_1_30] IS Extreme Bullish
