strategy,variant,accepted,score,full_return,train_return,test_return,hidden_return,rest_return,full_dd,train_dd,test_dd,hidden_dd,output_path
pruned_safe_remove_120,baseline,True,231.15018529184962,76.02671966314101,29.75135875496049,16.20832447635674,14.47043514850126,1.9841567401104765,7.122402489304304,1.8373825176838627,0.973537837499945,1.0470608919515751,outputs\pruned_safe_remove_120_evaluator_clean.json
pruned_safe_remove_120,core_tpsl_only,True,423.6375310107603,151.42404540549083,43.6334359822921,29.56338183710563,23.464256564760365,9.427749040395828,5.384264735589382,1.6699048672977057,1.019896070531203,0.947825233557553,outputs\long_param_tuning_guarded\pruned_safe_remove_120_core_tpsl_only_evaluator_clean.json
pruned_safe_remove_120,core_cap_only,False,207.80664249743387,64.63516788512345,21.25003059189572,17.50969569657288,13.025881721974542,2.2324456818689775,5.280381244180375,1.4419530904549867,0.7118313793963851,0.47677646382572453,outputs\long_param_tuning_guarded\pruned_safe_remove_120_core_cap_only_evaluator_clean.json
pruned_safe_remove_120,core_tpsl_cap,True,400.0913533523125,137.2523412433745,39.63929113518103,29.570537874140655,22.156221980869617,7.344864311329302,4.598329744560191,1.405300945770251,0.9129397469993201,0.7668332481315338,outputs\long_param_tuning_guarded\pruned_safe_remove_120_core_tpsl_cap_evaluator_clean.json
pruned_safe_remove_120,hidden_tpsl_only,True,421.2207227544592,147.7977119169416,43.145746586804435,29.646402177019347,24.265164445449283,7.450564772148893,5.791194427669735,1.584765568694139,1.019896070531203,0.9478252335575496,outputs\long_param_tuning_guarded\pruned_safe_remove_120_hidden_tpsl_only_evaluator_clean.json
pruned_safe_remove_120,hidden_tpsl_cap,True,392.2956349275893,129.81801421759167,37.68324935720939,28.265129833581604,24.490029043399918,4.534553165249644,5.13120983312688,1.4058284145207383,0.8887055075608827,0.6486725000000092,outputs\long_param_tuning_guarded\pruned_safe_remove_120_hidden_tpsl_cap_evaluator_clean.json
pruned_safe_remove_120,conservative_cap_only,False,204.64032051177008,63.03319467214272,19.65902939194144,17.699525753030954,12.813998915877045,2.610704618899673,4.821792972366498,1.3234559558199244,0.6640828136692165,0.3658228799999961,outputs\long_param_tuning_guarded\pruned_safe_remove_120_conservative_cap_only_evaluator_clean.json
pruned_safe_remove_80,baseline,True,218.40926930624354,70.36798607576034,25.610510435903077,19.521864174971615,16.606246023812112,-2.6807192026883975,10.787086277568719,2.3500887186751136,1.4898812633455738,1.19549097031288,outputs\pruned_safe_remove_80_evaluator_clean.json
pruned_safe_remove_80,core_tpsl_only,True,458.5626595150663,169.30411084319022,36.980642332248316,37.72452912364288,28.218034951767002,11.332413453589595,7.752091418884888,2.408734746472178,1.7689681268682704,1.0963117806427585,outputs\long_param_tuning_guarded\pruned_safe_remove_80_core_tpsl_only_evaluator_clean.json
pruned_safe_remove_80,core_cap_only,False,210.45547070243268,63.96975400011311,19.562552068922546,21.44867928707981,14.484433825064148,-1.3652313087423873,7.7281310539688075,2.13728524827033,0.8789887153903839,0.5961439751138147,outputs\long_param_tuning_guarded\pruned_safe_remove_80_core_cap_only_evaluator_clean.json
